Id	Code	Name	District	ExpenditurePerPupil	InstructionalExpendituresPercentage	CombinedWealthRatio	NeedsIndex	FreeLunchPercentage	ReducedLunchPercentage	LimitedEnglishProficientPercentage	EthnicDiversity	GraduatePercentage	DroppedOutPercentage
505	521401040007	SOUTH GLENS FALLS SENIOR HIGH SCHOOL	SOUTH GLENS FALLS CENTRAL SCHOOL DISTRICT	15927	76.2822371	0.574	5	14	6	0	39.43982759	88.66396761	4.858299595
506	521701040002	SCHUYLERVILLE HIGH SCHOOL	SCHUYLERVILLE CENTRAL SCHOOL DISTRICT	17751	73.3531792	0.501	5	19	10	1	37.90338595	91.02564103	5.769230769
507	521800010010	SARATOGA SPRINGS HIGH SCHOOL	SARATOGA SPRINGS CITY SCHOOL DISTRICT	15680	75.5703815	1.081	5	11	2	0	37.00135133	90.99437148	5.440900563
508	522001040003	STILLWATER MIDDLE SCHOOL HIGH SCHOOL	STILLWATER CENTRAL SCHOOL DISTRICT	17365	64.4536537	0.602	5	19	4	0	38.87244097	90.24390244	9.756097561
509	522101030004	WATERFORD-HALFMOON JUNIOR-SENIOR HIGH SCHOOL	WATERFORD-HALFMOON UNION FREE SCHOOL DISTRICT	19794	71.2518228	0.578	5	30	7	0	36.35060751	94.91525424	5.084745763
510	530101040001	DUANESBURG HIGH SCHOOL	DUANESBURG CENTRAL SCHOOL DISTRICT	16763	68.2468798	0.587	5	7	3	0	38.46426913	98.61111111	1.388888889
511	530202060006	SCOTIA-GLENVILLE SENIOR HIGH SCHOOL	SCOTIA-GLENVILLE CENTRAL SCHOOL DISTRICT	17269	76.0550135	0.612	5	14	6	0	36.45088019	89.66942149	7.438016529
512	530301060007	NISKAYUNA HIGH SCHOOL	NISKAYUNA CENTRAL SCHOOL DISTRICT	17326	67.8794605	0.836	6	6	2	0	31.90454513	96.38888889	1.666666667
513	530501060006	SCHALMONT HIGH SCHOOL	SCHALMONT CENTRAL SCHOOL DISTRICT	23630	63.4150087	0.864	5	14	5	0	36.84245739	95.23809524	1.785714286
514	530515060004	MOHONASEN SENIOR HIGH SCHOOL	ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT	15169	72.557882	0.563	5	19	8	1	34.55864581	88.46153846	2.797202797
515	530600010025	SCHENECTADY HIGH SCHOOL	SCHENECTADY CITY SCHOOL DISTRICT	17539	78.6090125	0.31	3	66	9	3	14.55564037	68.13793103	24
516	540801040001	GILBOA-CONESVILLE CENTRAL SCHOOL	GILBOA-CONESVILLE CENTRAL SCHOOL DISTRICT	24959	68.1755951	0.958	5	42	23	0	37.90338595	90	6.666666667
517	540901040001	JEFFERSON CENTRAL SCHOOL	JEFFERSON CENTRAL SCHOOL DISTRICT	20534	60.6871888	0.527	4	37	17	0	38.38576125	100	0
518	541001040001	MIDDLEBURGH HIGH SCHOOL	MIDDLEBURGH CENTRAL SCHOOL DISTRICT	24216	72.3458971	0.554	5	29	10	0	39.8480447	81.81818182	11.68831169
519	541102060002	COBLESKILL-RICHMONDVILLE HIGH SCHOOL	COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT	19689	67.161167	0.478	5	22	8	0	38.39618037	77.01863354	11.18012422
520	541201040003	SCHOHARIE HIGH SCHOOL	SCHOHARIE CENTRAL SCHOOL DISTRICT	22541	68.0264278	0.605	5	29	8	0	39.28061439	87.69230769	3.076923077
521	541401040001	SHARON SPRINGS CENTRAL SCHOOL	SHARON SPRINGS CENTRAL SCHOOL DISTRICT	26678	65.4607199	0.467	5	36	11	0	38.94996791	92.59259259	3.703703704
522	550101040003	ODESSA-MONTOUR JUNIOR/SENIOR HIGH SCHOOL	ODESSA-MONTOUR CENTRAL SCHOOL DISTRICT	19394	64.7422224	0.442	4	37	10	0	37.89810901	88.23529412	8.823529412
