9868912,HX519423,11/24/2014 09:00:00 PM,027XX W FULLERTON AVE,0460,BATTERY,SIMPLE,PARK PROPERTY,false,false,1431,014,1,22,08B,1157603,1915877,2014,12/01/2014 12:41:33 PM,41.924926543,-87.696316702,"(41.924926543; -87.696316702)"
9868804,HX519433,11/24/2014 09:00:00 PM,066XX N ASHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,2432,024,40,1,08B,1164448,1944141,2014,12/01/2014 12:41:33 PM,42.002341852,-87.670361553,"(42.002341852; -87.670361553)"
9869898,HX519985,11/24/2014 09:00:00 PM,062XX S WHIPPLE ST,0890,THEFT,FROM BUILDING,APARTMENT,false,false,0823,008,15,66,06,1157090,1862825,2014,12/01/2014 12:41:33 PM,41.779356427,-87.699640276,"(41.779356427; -87.699640276)"
9869441,HX519817,11/24/2014 09:00:00 PM,013XX E 47TH ST,0810,THEFT,OVER $500,ATHLETIC CLUB,false,false,0222,002,4,39,06,1185584,1874057,2014,12/01/2014 12:41:33 PM,41.809554221,-87.594825143,"(41.809554221; -87.594825143)"
9868785,HX519413,11/24/2014 09:00:00 PM,059XX W LAKE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1512,015,29,25,08B,1136547,1902312,2014,12/01/2014 12:41:33 PM,41.8881057,-87.774011945,"(41.8881057; -87.774011945)"
9870172,HX520549,11/24/2014 09:00:00 PM,062XX S TROY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0823,008,15,66,07,1156503,1862919,2014,12/01/2014 12:41:33 PM,41.779626227,-87.70178977,"(41.779626227; -87.70178977)"
9871518,HX521932,11/24/2014 09:00:00 PM,053XX W MELROSE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,false,false,1634,016,38,15,14,1140083,1921047,2014,12/01/2014 12:41:33 PM,41.939452666,-87.760566887,"(41.939452666; -87.760566887)"
9868984,HX519573,11/24/2014 09:00:00 PM,046XX S LAKE PARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0222,002,4,39,14,1185785,1874549,2014,12/01/2014 12:41:33 PM,41.810899562,-87.594072396,"(41.810899562; -87.594072396)"
9869570,HX519940,11/24/2014 08:58:00 PM,109XX S DR MARTIN LUTHER KING JR DR,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0513,005,9,49,26,1180898,1832326,2014,12/01/2014 12:41:33 PM,41.695149,-87.613293383,"(41.695149; -87.613293383)"
9868842,HX519416,11/24/2014 08:55:00 PM,009XX N CENTRAL AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,false,false,1524,015,37,25,14,1138879,1905923,2014,12/01/2014 12:41:33 PM,41.897972704,-87.765360133,"(41.897972704; -87.765360133)"
9868789,HX519414,11/24/2014 08:55:00 PM,087XX S EXCHANGE AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,0423,004,10,46,26,1197238,1847785,2014,12/01/2014 12:41:33 PM,41.737179472,-87.552955493,"(41.737179472; -87.552955493)"
9868943,HX519432,11/24/2014 08:50:00 PM,006XX N MICHIGAN AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,1834,018,42,8,06,1177289,1904263,2014,12/01/2014 12:41:33 PM,41.892633155,-87.624334789,"(41.892633155; -87.624334789)"
